gene,average,median,max,min,growth_correlation
b3875,1.3770567212627496,1.21212037291832,10.4556246922193,0.0,-0.3296976968896837
b3876,1.9573751404322972,1.83373350788702,10.2823960556212,0.0,-0.44311150215942086
b3877,1.9145334734328143,1.64217644311153,10.9904351983753,0.418857689626904,-0.2007202248370835
b3878,1.8719611774553782,1.57271263181352,12.1118930611583,0.180950353705754,-0.15485039124018715
b3879,1.999312213772364,1.77450550461281,12.0840876946862,0.0,-0.3248500715503054
b3880,3.8481771999930494,3.51125500993378,13.9304063674504,2.24140144445954,-0.15746092612166832
b3881,2.892984409580697,2.55089113351839,13.4332274543948,0.82062469149307,-0.20661595325946952
b3882,2.3043588219271545,1.94535651649461,12.8994088217213,0.0,-0.09595454500421259
b3883,4.006498318049583,3.72238764694553,12.2806072515606,2.19339944465139,-0.09458783957558634
b3884,6.30419449297761,6.19757692522415,10.8227481346501,4.416279355078,-0.16210934746924363
b3885,6.584350789151299,6.53007583986154,8.18290603561199,5.01208972859017,-0.20974465381236368
b3886,5.746259642608254,5.75161953361975,7.41073732058967,4.13122477234729,-0.46987077610560457
b3887,6.360079881980883,6.47450337679956,7.77311898656531,4.82840253818622,-0.22535569877191391
b3888,6.915119143578084,6.95800575143766,7.9140104262597,5.66169630855019,-0.1318459220026231
b3891,7.127306558208245,7.06236862517679,9.09474825125776,6.17122931605626,0.20100654904477702
